Done,Date,Class,Type,Assignment
TRUE,12/22/2022,CSE 101,Quiz,Syllabus Quiz
TRUE,12/28/2022,CSE 101,DB,Introduction
TRUE,12/31/2022,NURS 205,DB,300-word synopsis of what you learned for the week
TRUE,12/30/2022,BIOL 102,Packback,Post & Respond to a packback question
TRUE,12/17/2022,NURS 205,DB,100-words (each) in response to two other student posts
TRUE,12/4/2022,BIOL 104,Pre-Lab Quiz,Read handout and complete quiz - Topic: Natural Selection & Scientific Lit
TRUE,12/11/2022,NURS 205,DB,300-word synopsis of what you learned for the week
TRUE,12/1/2022,CSE 130,DB,"Discuss, using at least 100 words, your reaction to the paper.  You may either create your own forum or comment on someone else's."
TRUE,12/13/2022,CSE 130,Lab,Lab1 - Installing Cygwin Environment
TRUE,12/14/2022,NURS 205,DB,100-words (each) in response to two other student posts
TRUE,12/4/2022,BIOL 102,Packback,Post & Respond to a packback question
TRUE,12/2/2022,CSE 101,Quiz,4-Letter Personality Quiz
TRUE,12/11/2022,CSE 101,DB,4-Letter Personality
TRUE,12/12/2022,NURS 205,DB,300-word synopsis of what you learned for the week
TRUE,12/16/2022,CSE 130,DB,Discussion Board Post
TRUE,12/29/2022,CSE 130,Homework,Homework1 -  Debugging Programs
TRUE,12/31/2022,NURS 205,DB,100-words (each) in response to two other student posts
TRUE,12/1/2022,BIOL 102,Respondus,Take fake quiz
TRUE,12/11/2022,BIOL 102,Packback,Post & Respond to a packback question
TRUE,12/29/2022,CSE 101,Week 4 Journal,Financial Education
TRUE,12/10/2022,CSE 101,Week 4 Journal,REACH Workshop
TRUE,12/13/2022,BIOL 104,Pre-Lab Quiz,Read handout and complete quiz - Topic: Animal Behavior
TRUE,12/26/2022,BIOL 102,Exam,Exam on Scientific Method Chemistry and Cells: ch 1-8
TRUE,12/5/2022,CSE 310,Assignment,Assignment1
TRUE,12/25/2022,NURS 205,DB,300-word synopsis of what you learned for the week
TRUE,12/5/2022,CSE 130,DB,Discussion Board Post
TRUE,12/9/2022,CSE 130,Lab,Lab2 - Loops
TRUE,12/25/2022,NURS 205,Literature Review,To review literature that research paper is based on
TRUE,12/19/2022,NURS 205,DB,100-words (each) in response to two other student posts
TRUE,1/10/2023,BIOL 102,Packback,Post & Respond to a packback question
TRUE,1/20/2023,BIOL 104,Pre-Lab Quiz,Read handout and complete quiz - Topic: Conservation & Species Diversity
TRUE,1/14/2023,CSE 101,Assignment,New Card Navigator
TRUE,1/24/2023,CSE 101,Assignment,Schedule Advising Appt
TRUE,1/24/2023,CSE 130,Quiz,Quiz1 - Putting it All Together
TRUE,1/10/2023,NURS 205,DB,300-word synopsis of what you learned for the week
